epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.9097,1.7615,4.21056,1.58842,0.00674,0.2625,0.0312,0.01217,1.61998,4.03339,1.45695,3.125e-05,3.125e-05,3.125e-05
2,45.8517,1.58209,4.20794,1.44909,0.01088,0.3,0.05138,0.02922,1.57333,3.9593,1.36005,6.76156e-05,6.76156e-05,6.76156e-05
3,52.2385,1.50143,4.0278,1.46597,0.02345,0.31389,0.04988,0.02885,1.47332,3.92133,1.27895,0.000102744,0.000102744,0.000102744
4,58.2828,1.45593,4.01845,1.34933,0.03013,0.40556,0.08966,0.05891,1.40756,3.89046,1.22179,0.000136634,0.000136634,0.000136634
5,61.8227,1.40545,3.93115,1.29706,0.02207,0.48542,0.12642,0.06376,1.39402,3.84995,1.18625,0.000169288,0.000169288,0.000169288
6,66.875,1.44382,3.80264,1.30499,0.01974,0.65139,0.19683,0.11324,1.3675,3.79568,1.13861,0.000200703,0.000200703,0.000200703
7,70.24,1.42598,3.64945,1.28795,0.01831,0.7,0.22505,0.13117,1.37528,3.74127,1.11883,0.000230881,0.000230881,0.000230881
8,73.2606,1.38076,3.46253,1.26744,0.01993,0.74444,0.22289,0.12789,1.34982,3.75665,1.14225,0.000259822,0.000259822,0.000259822
9,76.1149,1.3983,3.39519,1.25786,0.0205,0.77569,0.29319,0.18616,1.39044,3.64277,1.14425,0.000287525,0.000287525,0.000287525
10,80.1921,1.36634,3.26573,1.24769,1,0.03199,0.32565,0.21023,1.37519,3.58258,1.157,0.000313991,0.000313991,0.000313991
11,83.159,1.45581,3.13656,1.3119,1,0.04258,0.36076,0.22438,1.3696,3.52128,1.15214,0.000339219,0.000339219,0.000339219
12,86.281,1.45948,3.06535,1.38462,0.93077,0.12695,0.37993,0.25373,1.37268,3.39793,1.17009,0.000363209,0.000363209,0.000363209
13,88.8605,1.45829,2.6888,1.32394,0.89021,0.13043,0.41074,0.27553,1.37372,3.30432,1.20861,0.000385963,0.000385963,0.000385963
14,92.8178,1.3766,2.46435,1.28426,0.87556,0.14772,0.43722,0.28197,1.43746,3.21082,1.28375,0.000407478,0.000407478,0.000407478
